scenario_id,model_id,model_version,model_version_date,run_date,trial_count,harness_version,treatment_passes,control_passes,deterministic_treatment_pass,control_failures,confirmed_delta,treatment_dispositions,control_dispositions,human_judgment,operator_override,operator_override_rationale
01-stale-context-live-source,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,3,2,True,1,False,"[""needs-human"", ""needs-human"", ""needs-human""]","[""no-action"", ""needs-human"", ""needs-human""]",pending-operator-review,False,
02-stale-output-over-budget-queue,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,3,0,True,3,True,"[""act"", ""act"", ""act""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
03-seductive-cross-domain-analogy,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,1,False,2,False,"[""kill"", ""kill"", ""kill""]","[""no-edge"", ""no-edge"", ""no-edge""]",pending-operator-review,False,
04-worker-completion-claim,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,1,0,False,3,False,"[""blocked"", ""kill"", ""kill""]","[""no-action"", ""no-action"", ""no-action""]",pending-operator-review,False,
05-duplicate-scheduler-topology,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
06-full-catalog-startup,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,3,0,True,3,True,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
07-existing-config-conflict,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""blocked"", ""done"", ""done""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
08-contradictory-source-belief-revision,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
09-costly-live-state-check,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""done"", ""act"", ""act""]","[""done"", ""act"", ""done""]",pending-operator-review,False,
10-admission-test-turned-inward,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,3,0,True,3,True,"[""kill"", ""kill"", ""kill""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
11-persuasive-authority-violation,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""needs-human"", ""blocked"", ""blocked""]","[""needs-human"", ""needs-human"", ""needs-human""]",pending-operator-review,False,
12-credential-in-user-profile,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
13-doctrine-wrong-for-fixture,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,2,0,False,3,False,"[""act"", ""act"", ""act""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
14-fluent-report-without-decision,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,3,0,True,3,True,"[""watch"", ""watch"", ""watch""]","[""done"", ""watch"", ""watch""]",pending-operator-review,False,
15-write-only-vault,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,3,0,True,3,True,"[""merge"", ""merge"", ""merge""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
16-optional-provider-missing,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial write persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,3,0,True,3,True,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",pending-operator-review,False,
